,ell,Cl
2685,2685,1.630398274574333e-09
2686,2686,1.7527746225371836e-09
2687,2687,1.7268013263754668e-09
2688,2688,1.7228589220950197e-09
2689,2689,1.5942029287751332e-09
2690,2690,1.6902665839945983e-09
2691,2691,1.4953074555877962e-09
2692,2692,1.7229214204265764e-09
2693,2693,1.6784471263315952e-09
2694,2694,1.7568446036653445e-09
2695,2695,1.640766487399219e-09
2696,2696,1.6108885078412038e-09
2697,2697,1.6457487619156398e-09
2698,2698,1.616069576725536e-09
2699,2699,1.6318714741284671e-09
2700,2700,1.6882982609794806e-09
2701,2701,1.6626194628165199e-09
2702,2702,1.7111854389145605e-09
2703,2703,1.7148103377739443e-09
2704,2704,1.7713038394542023e-09
2705,2705,1.6196407145700892e-09
2706,2706,1.867025401876838e-09
2707,2707,1.5955919332321352e-09
2708,2708,1.6109045615615041e-09
2709,2709,1.5544671284620183e-09
2710,2710,1.6775410253403028e-09
2711,2711,1.5404121709105608e-09
2712,2712,1.6686234140569727e-09
2713,2713,1.700261735656864e-09
2714,2714,1.6855094315677755e-09
2715,2715,1.7298421144350628e-09
2716,2716,1.6039808881038749e-09
2717,2717,1.5705944145010486e-09
2718,2718,1.6425604948128973e-09
2719,2719,1.627869311258262e-09
2720,2720,1.7264760351665857e-09
2721,2721,1.660934208047329e-09
2722,2722,1.6338616955443775e-09
2723,2723,1.650319040028517e-09
2724,2724,1.7033536401209125e-09
2725,2725,1.6517781497103661e-09
2726,2726,1.7390136782033559e-09
2727,2727,1.6168149756650566e-09
2728,2728,1.6957718342831082e-09
2729,2729,1.6591271733941593e-09
2730,2730,1.5394309415996112e-09
2731,2731,1.544386883618022e-09
2732,2732,1.498799696211786e-09
2733,2733,1.6820346572136966e-09
2734,2734,1.6501254922624396e-09
2735,2735,1.6627066377201631e-09
2736,2736,1.7171609876410264e-09
2737,2737,1.6268470603196027e-09
2738,2738,1.7012625109352261e-09
2739,2739,1.7037422018363346e-09
2740,2740,1.670592679063687e-09
2741,2741,1.5599775847192283e-09
2742,2742,1.5348802061551366e-09
2743,2743,1.5780274705826626e-09
2744,2744,1.718694947277187e-09
2745,2745,1.6418120814743631e-09
2746,2746,1.6362859476842186e-09
2747,2747,1.666693076701183e-09
2748,2748,1.6579162922450871e-09
2749,2749,1.4387912231922294e-09
2750,2750,1.550153615548925e-09
2751,2751,1.6442533499179063e-09
2752,2752,1.643140139018093e-09
2753,2753,1.7155612651587483e-09
2754,2754,1.4854230039352116e-09
2755,2755,1.6036927348292602e-09
2756,2756,1.575633141554317e-09
2757,2757,1.6827477969152792e-09
2758,2758,1.5917395809611637e-09
2759,2759,1.567169754470408e-09
2760,2760,1.697903817383139e-09
